Vehicle Make,n,Fatal Injury,Suspected Serious Injury,Suspected Minor Injury,Possible Injury,No Apparent Injury
TOYOTA,31731,0.09,0.8,8.84,11.75,78.52
HONDA,25252,0.13,1.16,9.43,11.22,78.06
FORD,21021,0.06,0.62,5.53,7.36,86.43
NISSAN,11005,0.07,0.95,9.17,12.29,77.52
TOYT,8841,0.02,0.51,6.35,11.38,81.74
CHEVROLET,6200,0.11,0.73,7.02,7.61,84.53
HOND,5765,0.05,0.43,6.64,12.04,80.83
HYUNDAI,5710,0.09,0.54,10.07,10.93,78.37
DODGE,5402,0.02,0.72,6.18,7.77,85.3
JEEP,4780,0.04,0.63,7.07,8.89,83.37
BMW,4232,0.17,0.97,7.47,9.48,81.92
LEXUS,3988,0.05,0.73,8.83,10.86,79.54
UNKNOWN,3745,0.0,0.08,0.45,1.42,98.05
ACURA,3735,0.11,0.64,9.05,9.69,80.51
KIA,3690,0.14,0.87,8.51,10.43,80.05
CHEV,3670,0.16,0.44,5.42,8.75,85.23
SUBARU,3319,0.09,0.78,7.47,9.01,82.65
CHEVY,3212,0.03,0.97,6.85,9.99,82.16
MAZDA,2988,0.17,0.64,8.9,11.04,79.25
NISS,2652,0.04,0.45,6.52,12.03,80.96
GMC,2258,0.04,0.75,6.51,9.34,83.35
HYUN,2063,0.0,0.63,7.51,11.49,80.37
AUDI,1811,0.22,1.1,6.35,7.95,84.37
MERZ,1713,0.06,0.41,6.83,10.74,81.96
THOMAS,1569,0.0,0.06,0.7,0.89,98.34
VOLKSWAGEN,1505,0.07,1.0,8.97,9.77,80.2
GILLIG,1393,0.0,0.0,1.65,1.72,96.63
MERCEDES,1364,0.15,0.66,7.7,10.63,80.87
CHRYSLER,1245,0.16,0.72,8.59,11.57,78.96
VOLVO,1194,0.0,0.92,7.2,9.55,82.33
FREIGHTLINER,1188,0.0,0.08,1.52,1.6,96.8
NEW FLYER,1085,0.0,0.09,1.47,2.67,95.76
VOLK,1068,0.19,0.37,6.27,11.14,82.02
GILL,1044,0.0,0.0,0.57,2.3,97.13
MERCEDES-BENZ,1033,0.1,0.48,10.16,9.39,79.86
TESLA,984,0.0,0.51,6.81,7.72,84.96
ACUR,962,0.0,0.31,5.93,9.67,84.1
SUBA,944,0.0,0.21,4.98,9.11,85.7
INFINITI,929,0.32,0.65,10.87,8.83,79.33
DODG,863,0.12,0.35,5.45,5.33,88.76
RAM,819,0.12,0.24,3.66,4.88,91.09
BUICK,814,0.12,2.21,10.2,9.71,77.76
VOLKSWAGON,807,0.0,1.36,7.43,11.28,79.93
CADILLAC,752,0.53,1.33,6.78,7.58,83.78
MAZD,714,0.0,0.42,5.74,10.92,82.91
MITSUBISHI,692,0.14,0.72,8.09,8.53,82.51
FRHT,690,0.0,0.14,0.87,1.3,97.68
THOMAS BUILT,637,0.0,0.16,0.63,0.78,98.43
LEXS,605,0.0,0.83,4.79,10.25,84.13
MACK,601,0.0,0.33,2.33,2.83,94.51
CHRY,581,0.0,0.17,6.71,11.88,81.24
THOM,574,0.0,0.17,0.7,0.35,98.78
LINCOLN,529,0.0,0.95,8.7,7.94,82.42
MITS,477,0.0,0.21,7.76,9.85,82.18
INTERNATIONAL,471,0.0,0.0,1.06,2.55,96.39
MINI,428,0.0,0.47,9.11,8.64,81.78
SCION,388,0.26,1.29,9.54,9.79,79.12
SATURN,370,0.27,0.54,8.92,12.16,78.11
CADI,369,0.0,1.36,6.5,10.3,81.84
INFI,353,0.0,1.42,6.23,12.75,79.6
VOLKS,349,0.29,0.86,11.75,10.32,76.79
VOLV,331,0.0,1.21,6.34,10.27,82.18
VW,330,0.3,0.91,10.0,10.61,78.18
PONTIAC,325,0.0,3.08,10.77,12.92,73.23
LEXU,317,0.0,0.63,7.89,9.46,82.02
MERCURY,309,0.0,1.29,10.03,10.03,78.64
LAND ROVER,306,0.0,0.0,6.21,10.46,83.33
MERC,285,0.0,1.05,7.37,11.93,79.65
ISUZU,272,0.0,1.1,5.15,3.31,90.44
GILG,269,0.0,0.0,1.12,1.86,97.03
SUZUKI,263,4.18,10.27,19.39,16.35,49.81
INTL,228,0.0,0.44,0.88,1.75,96.93
PORSCHE,225,0.0,0.0,6.67,9.78,83.56
BUIC,212,0.0,0.47,8.49,9.91,81.13
TOYO,204,0.0,0.0,13.73,8.82,77.45
MERCEDEZ,199,0.0,1.01,8.04,11.56,79.4
MERCEDES BENZ,193,0.0,3.63,7.77,8.29,80.31
INFINITY,186,0.0,2.69,8.06,12.37,76.88
JAGUAR,176,0.0,1.7,9.09,8.52,80.68
KENWORTH,173,0.0,0.0,2.31,4.05,93.64
LINC,167,0.0,1.2,8.38,5.39,85.03
THMS,162,0.0,0.0,0.0,0.0,100.0
PETERBILT,161,0.0,0.62,2.48,2.48,94.41
SPAR,158,0.0,0.0,0.0,0.63,99.37
HARLEY DAVIDSON,154,2.6,18.83,33.12,25.97,19.48
YAMAHA,154,5.84,27.27,35.06,13.64,18.18
TOYTA,148,0.0,0.68,8.78,10.81,79.73
UNK,146,0.0,0.68,0.0,0.0,99.32
ORION,145,0.0,0.69,0.69,1.38,97.24
PONT,142,0.0,0.7,7.04,11.27,80.99
NWFL,140,0.0,0.0,1.43,2.14,96.43
NISSIAN,137,0.0,1.46,8.03,15.33,75.18
HYUNDIA,130,0.0,2.31,13.85,12.31,71.54
HINO,129,0.0,0.78,3.88,3.1,92.25
KAWASAKI,126,5.56,23.81,34.13,15.08,21.43
TBU,123,0.0,0.0,0.0,0.81,99.19
FIAT,121,0.0,0.0,9.09,14.88,76.03
SPARTAN,121,0.0,0.0,0.0,0.0,100.0
PIERCE,115,0.0,0.0,0.0,0.0,100.0
TOY,113,0.0,0.0,3.54,11.5,84.96
LANDROVER,102,0.0,0.98,3.92,5.88,89.22
SAAB,100,0.0,1.0,6.0,8.0,85.0
CHEVEROLET,92,0.0,0.0,8.7,8.7,82.61
STERLING,88,0.0,0.0,0.0,0.0,100.0
PIERCE MANUFACTURING,86,0.0,0.0,0.0,0.0,100.0
PTRB,86,0.0,0.0,2.33,2.33,95.35
CHEVORLET,83,0.0,0.0,4.82,7.23,87.95
NFLY,83,0.0,0.0,1.2,0.0,98.8
PORS,80,0.0,1.25,8.75,8.75,81.25
UU,80,0.0,1.25,1.25,1.25,96.25
FREIGHT,77,0.0,0.0,0.0,3.9,96.1
NABI,77,0.0,0.0,0.0,1.3,98.7
TESL,72,0.0,0.0,2.78,11.11,86.11
KW,70,0.0,0.0,0.0,5.71,94.29
LNDR,69,0.0,0.0,2.9,10.14,86.96
HYUND,68,0.0,1.47,4.41,23.53,70.59
ISU,68,0.0,0.0,4.41,4.41,91.18
TOYOT,68,1.47,1.47,4.41,13.24,79.41
PIER,66,0.0,0.0,0.0,0.0,100.0
ORIO,64,0.0,0.0,1.56,1.56,96.88
HUMMER,62,0.0,3.23,0.0,17.74,79.03
PETERBUILT,61,0.0,0.0,0.0,3.28,96.72
GENESIS,58,0.0,0.0,5.17,10.34,84.48
PIRC,58,0.0,0.0,0.0,1.72,98.28
BUS,56,0.0,1.79,0.0,1.79,96.43
GRUMMAN,56,0.0,1.79,5.36,8.93,83.93
JAGU,56,0.0,0.0,3.57,12.5,83.93
STRN,56,0.0,0.0,10.71,12.5,76.79
RANGE ROVER,55,0.0,0.0,7.27,7.27,85.45
SUBURU,54,0.0,1.85,5.56,14.81,77.78
IC,53,0.0,0.0,0.0,0.0,100.0
METRO,51,0.0,0.0,1.96,1.96,96.08
SUZI,51,0.0,3.92,29.41,21.57,45.1
OLDSMOBILE,49,0.0,0.0,10.2,12.24,77.55
NOVABUS,46,0.0,0.0,0.0,2.17,97.83
THOMPSON,46,0.0,0.0,2.17,2.17,95.65
GM,45,0.0,4.44,0.0,2.22,93.33
CHRYS,44,0.0,2.27,2.27,4.55,90.91
SATU,44,0.0,0.0,11.36,4.55,84.09
CADILAC,43,0.0,4.65,6.98,9.3,79.07
MASERATI,43,0.0,0.0,6.98,6.98,86.05
MNNI,42,0.0,0.0,7.14,14.29,78.57
XX,42,0.0,0.0,4.76,0.0,95.24
NEW,41,0.0,0.0,0.0,7.32,92.68
PETE,41,0.0,0.0,0.0,0.0,100.0
FREI,40,0.0,0.0,0.0,7.5,92.5
CHRYSTLER,39,0.0,0.0,2.56,10.26,87.18
STLG,39,0.0,0.0,0.0,2.56,97.44
ISUZ,37,0.0,2.7,0.0,8.11,89.19
SCIO,37,0.0,0.0,10.81,8.11,81.08
TOYOYA,37,0.0,0.0,8.11,13.51,78.38
HYUNDI,36,0.0,0.0,5.56,13.89,80.56
SUZU,36,2.78,0.0,16.67,8.33,72.22
TOYTOA,35,0.0,0.0,8.57,8.57,82.86
NOVA,34,0.0,0.0,2.94,2.94,94.12
OLDS,34,0.0,0.0,17.65,5.88,76.47
DUCATI,33,3.03,21.21,39.39,12.12,24.24
