"the_geom","OBJECTID","CATEGORY","NAME","ADDRESS","CITY","ZIPCODE","PHONE","URL","POINT_X","POINT_Y","LATITUDE","LONGITUDE","INFO"
"POINT (-77.283850546416 39.161805481144)","9","FIRE STATION","Station 22 - Germantown/Kingsview","18910 Germantown Rd","Germantown","20874","240-773-4722","http://www.montgomerycountymd.gov/mcfrs/","1,231,848.97520821","544,637.56143757","39.16179761","-77.28384819","22"
"POINT (-77.122940811183 39.059004409089)","2","FIRE STATION","Station 23 - Rockville","121 Rollins Ave","Rockville","20852","240-773-4723","http://www.montgomerycountymd.gov/mcfrs/","1,277,423.99989066","507,094.25004261","39.05899655","-77.12293851","23"
"POINT (-77.102875787618 38.990507359215)","13","FIRE STATION","Station R1 - Bethesda / Chevy Chase Rescue","5020 Battery La","Bethesda","20814","240-773-4741","http://www.montgomerycountymd.gov/mcfrs/","1,283,093.50005594","482,140.06249936","38.99049951","-77.1028735","R1"
"POINT (-77.007125356527 39.017358117297)","6","FIRE STATION","Station 16 - Silver Spring","111 E University Blvd","Silver Spring","20901","240-773-4716","http://www.montgomerycountymd.gov/mcfrs/","1,310,309.50008128","491,902.87492446","39.01735026","-77.00712309","16"
"POINT (-77.205099744904 39.289206608175)","28","FIRE STATION","Station 13 - Damascus","26334 Ridge Rd","Damascus","20872","240-773-4713","http://www.montgomerycountymd.gov/mcfrs/","1,254,282.7500771","590,980.43738473","39.28919871","-77.2050974","13"
"POINT (-77.411631480808 39.180215832184)","32","FIRE STATION","Station 14 - Upper Montgomery","19801 Beallsville Rd","Beallsville","20839","240-773-4714","http://www.montgomerycountymd.gov/mcfrs/","1,195,647.5001025","551,480.93757194","39.18020796","-77.41162908","14"
"POINT (-77.069095267874 39.09219445781)","35","FIRE STATION","Station 25 - Kensington","14401 Connecticut Ave","Layhill","20906","240-773-4725","http://www.montgomerycountymd.gov/mcfrs/","1,292,722.9999689","519,166.37498185","39.09218659","-77.06909298","25"
"POINT (-77.003249309252 39.073025529994)","37","FIRE STATION","Station 24 - Hillandale","13216 New Hampshire Ave","Silver Spring","20904","240-773-4724","http://www.montgomerycountymd.gov/mcfrs/","1,311,411.49995431","512,177.40627134","39.07301766","-77.00324704","24"
"POINT (-77.193697510124 39.043808376213)","15","FIRE STATION","Station 33 - Rockville","11430 Falls Rd","Potomac","20854","240-773-4733","http://www.montgomerycountymd.gov/mcfrs/","1,257,320.37491193","501,594.56261348","39.04380052","-77.19369519","33"
"POINT (-77.244278549858 39.194812736474)","25","FIRE STATION","Station 34 - Germantown/Milestone","20633 Boland Farm Rd","Germantown","20876","240-773-4734","http://www.montgomerycountymd.gov/mcfrs/","1,243,101.64235469","556,627.00324074","39.19480486","-77.2442762","34"
"POINT (-77.00711522437 38.97760559064)","10","FIRE STATION","Station  2 - Takoma Park","7201 Carroll Ave","Takoma Park","20912","240-773-4702","http://www.montgomerycountymd.gov/mcfrs/","1,310,311.25009728","477,424.78134297","38.97759774","-77.00711296","2"
